All,Wszystko
"Add Secret Key to URLs","Dodaj sekretny klucz do URL"
"Login is Case Sensitive","Logowanie rozpoznaje wielkość liter"
"Admin Session Lifetime (seconds)","Czas trwania sesji Admina (w sekundach)"
"Please enter at least 60 and at most 31536000 (one year).","Proszę wprowadzić przynajmniej 60 i co najwyżej 31536000 (jeden rok)."
"Enable Charts","Włącz wykresy"
Web,Sieć
"Url Options","Opcje URL"
"Add Store Code to Urls","Dodaj kod sklepu do URL"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Ostrzeżenie! </strong> Podczas korzystania z kodu sklepu w adresach URL, w niektórych przypadkach system może nie działać poprawnie, jeśli adresy URL bez kodów sklepu są określone w usługach stron trzecich (np. PayPal itp.)."
"Auto-redirect to Base URL","Automatycznie przekieruj do bazowego URL"
"Search Engine Optimization","Optymalizacja dla wyszukiwarek"
"Use Web Server Rewrites","Używaj przekierowań serwera"
"Base URLs","Podstawowy URL"
"Base URL","Bazowy URL"
"Specify URL or {{base_url}} placeholder.","Określ adres URL lub zastępczy {{base_url}}."
"Base Link URL","Bazowy URL dla linków"
"Base URL for Static View Files","Podstawowy adres URL dla widoków statycznych plików"
"May be empty or start with {{unsecure_base_url}} placeholder.","Może być pusty lub zaczynać się od {{unsecure_base_url}}."
"Base URL for User Media Files","Podstawowy adres URL dla plików multimedialnych użytkownika"
"Base URLs (Secure)","Bazowy URL (bezpieczne)"
"Secure Base URL","Zabezpieczony bazowy URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Określ adres URL lub {{base_url}} lub {{unsecure_base_url}} symbol zastępczy."
"Secure Base Link URL","Podstawowy bezpieczny adres URL"
"Secure Base URL for Static View Files","Podstawowy bezpieczny adres URL dla widoków statycznych"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Może być pusty lub zaczynać się od {{secure_base_url}}, lub {{unsecure_base_url}}."
"Secure Base URL for User Media Files","Bezpieczny adres URL dla plików multimedialnych użytkownika"
"Use Secure URLs on Storefront","Używaj bezpiecznych URL na Storefront"
"Use Secure URLs in Admin","Użyj zabezpieczonych URLi dla admina"
"Enable HTTP Strict Transport Security (HSTS)","Włącz ścisłe zabezpieczenie transportu HTTP (HSTS)"
"Upgrade Insecure Requests","Uaktualnij niebezpieczne żądania"
"Offloader header","Nagłówek offloadera"
"Default Pages","Domyślne strony"
"Default Web URL","Domyślny URL sieciowy"
"Default No-route URL","Domyślny URL dla braku adresu"
"Session Validation Settings","Ustawienia walidacji sesji"
"Validate REMOTE_ADDR","Waliduj REMOTE_ADDR"
"Validate HTTP_VIA","Waliduj HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Waliduj HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Waliduj HTTP_USER_AGENT"
"Use SID on Storefront","Użyj identyfikatora SID w witrynie sklepu"
"Allows customers to stay logged in when switching between different stores.","Pozwala klientom pozostać zalogowanym podczas przełączania się między różnymi sklepami."
"Cache Type","Rodzaj pamięci podręcznej"
Description,Opis
Tags,Tagi
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Błąd 404</h1><p>Strona nie została odnaleziona.</p>"
"Default Theme","Domyślny motyw"
"If no value is specified, the system default is used. The system default may be modified by third party extensions.","Jeśli nie określono żadnej wartości, używana jest domyślna wartość systemowa. Domyślne ustawienia systemowe mogą być modyfikowane przez rozszerzenia innych firm."
"Applied Theme","Zastosuj motyw"
"Design Rule","Reguła wyglądu"
"User Agent Rules","Reguły agenta użytkownika"
Pagination,Stronicowanie
"How many links to display at once.","Ile linków wyświetlać na raz."
"Pagination Frame","Ramka stronicowania"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Jeśli aktualna pozycja ramki nie pokrywa najwyższych stron, renderuje link do aktualnej pozycji, plus/minus ta wartość."
"Pagination Frame Skip","Pomiń ramkę stronicowania"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternatywny tekst dla linku do poprzedniej strony w menu paginacji. Jeśli pusty to zostanie użyty domyślny obrazek strzałki."
"Anchor Text for Previous","Tekst dla Poprzedni"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternatywny tekst dla linku do następnej strony w menu paginacji. Jeśli pusty to zostanie użyty domyślny obrazek strzałki."
"Anchor Text for Next","Tekst dla Następny"
"Theme Name","Nazwa motywu"
"Please correct the tab configuration and try again. Tab Id should be not empry","Popraw konfigurację karty i spróbuj ponownie. Identyfikator karty nie powinien być empry"
"You have entered an invalid password for current user.","Wprowadzono nieprawidłowe hasło dla bieżącego użytkownika."
"Unable to delete store. Please, try again later.","Nie można usunąć sklepu. Spróbuj ponownie później."
"Unable to delete store view. Please, try again later.","Nie można usunąć widoku sklepu. Spróbuj ponownie później."
"Unable to delete website. Please, try again later.","Nie można usunąć strony. Spróbuj ponownie później."
"Access denied","Odmowa dostępu"
"Please try to sign out and sign in again.","Spróbuj się wylogować i zalogować ponownie."
"If you continue to receive this message, please contact the store owner.","Jeśli nadal będziesz otrzymywać tę wiadomość, skontaktuj się z właścicielem sklepu."
"You need more permissions to access this.","Aby uzyskać do niej dostęp, potrzebne są dodatkowe uprawnienia."
"Copyright&copy; %1 Magento Commerce Inc. All rights reserved.","Copyright&copy; %1 Magento Commerce Inc. Wszelkie prawa zastrzeżone."
"Report Bugs","Zgłaszanie błędów"
"Themes JavaScript and CSS files combined to one file.","Pliki JavaScript i CSS motywów połączone w jeden plik."
"Design Theme","Motyw projektu"
"User-Agent Exceptions","Wyjątki dotyczące User-Agent"
"Search strings are either normal strings or regular exceptions (PCRE). They are matched in the same order as entered. Examples:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>","Wyszukiwane ciągi są zwykłymi ciągami lub wyjątkami regularnymi (PCRE). Są one dopasowywane w tej samej kolejności, w jakiej zostały wprowadzone. Przykłady:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>"
"Find a string in client user-agent header and switch to specific design theme for that browser.","Znajdź ciąg znaków w nagłówku user-agent klienta i przełącz się na określony motyw graficzny dla tej przeglądarki."
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Jeśli bieżąca pozycja ramki nie obejmuje wszystkich stron, link zostanie wyrenderowany do bieżącej pozycji plus/minus ta wartość."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternatywny tekst dla poprzedniego linku w menu paginacji. Jeśli puste, zostanie użyty domyślny obraz strzałki."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternatywny tekst dla następnego linku w menu paginacji. Jeśli puste, zostanie użyty domyślny obraz strzałki."
"Enable Javascript Bundling","Włączenie obsługi Javascript"
"Recovery Link Expiration Period (days)","Okres ważności łącza odzyskiwania (dni)"
"Values less than 60 are ignored.","Wartości mniejsze niż 60 są ignorowane."
"Copyright &copy; %1 Magento, Inc. All rights reserved.","Copyright &copy; %1 Magento, Inc. Wszelkie prawa zastrzeżone."
"Add New User Agent Rule","Dodaj nową regułę agenta użytkownika"
"Search String","Ciąg wyszukiwania"
"Page not found.","Nie znaleziono strony."
"Add Block Class Type to Hints","Dodaj typ klasy bloku do podpowiedzi"
"When the adapter was changed, please flush Catalog Images Cache.","Po zmianie adaptera należy wyczyścić pamięć podręczną obrazów katalogu."
"For Windows server only.","Tylko dla serwera Windows."
"Images Upload Configuration","Konfiguracja przesyłania obrazów"
"Maximum Width","Maksymalna szerokość"
"Maximum allowed width for uploaded image.","Maksymalna dozwolona szerokość przesłanego obrazu."
"Maximum Height","Maksymalna wysokość"
"Maximum allowed height for uploaded image.","Maksymalna dozwolona wysokość przesłanego obrazu."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third-party services (e.g. PayPal etc.).","<strong style=""color:red"">Ostrzeżenie! </strong> Podczas korzystania z kodu sklepu w adresach URL, w niektórych przypadkach system może nie działać poprawnie, jeśli adresy URL bez kodów sklepu są określone w usługach stron trzecich (np. PayPal itp.)."
"I.e. redirect from http://example.com/store/ to http://www.example.com/store/","Np. przekierowanie z http://example.com/store/ na http://www.example.com/store/."
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. http://example.com/magento/","Każde z pól dopuszcza w pełni kwalifikowane adresy URL zakończone znakiem ""/"" (ukośnik), np. http://example.com/magento/."
"May start with {{unsecure_base_url}} placeholder.","Może zaczynać się od symbolu zastępczego {{unsecure_base_url}}."
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. https://example.com/magento/","Każde z pól dopuszcza w pełni kwalifikowane adresy URL zakończone znakiem ""/"" (ukośnik), np. https://example.com/magento/."
"May start with {{secure_base_url}} or {{unsecure_base_url}} placeholder.","Może zaczynać się od {{secure_base_url}} lub {{unsecure_base_url}}."
"Enter https protocol to use Secure URLs on Storefront.","Wprowadź protokół https, aby korzystać z bezpiecznych adresów URL w Storefront."
"Enter https protocol to use Secure URLs in Admin.","Wprowadź protokół https, aby korzystać z bezpiecznych adresów URL w panelu administracyjnym."
"See <a href=""https://www.owasp.org/index.php/HTTP_Strict_Transport_Security"" target=""_blank"">HTTP Strict Transport Security</a> page for details.","Szczegółowe informacje można znaleźć na stronie <a href=""https://www.owasp.org/index.php/HTTP_Strict_Transport_Security"" target=""_blank"">HTTP Strict Transport Security</a>."
"See <a href=""http://www.w3.org/TR/upgrade-insecure-requests/"" target=""_blank"">Upgrade Insecure Requests</a> page for details.","Szczegółowe informacje można znaleźć na stronie <a href=""http://www.w3.org/TR/upgrade-insecure-requests/"" target=""_blank"">Upgrade Insecure Requests</a>."
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Jeśli żadna wartość nie jest podana, zostanie użyta domyślna wartość. Może być ona modyfikowana przez inne rozszerzenia."
label,etykieta
"Enable Frontend Resize","Zmiana rozmiaru po stronie klienta"
"Invalid security or form key. Please refresh the page.","Nieprawidłowy klucz zabezpieczeń lub formularza. Odśwież stronę."
"An item needs to be selected. Select and try again.","Należy wybrać element. Wybierz i spróbuj ponownie."
"These cache type(s) don't exist: %1","Te typy pamięci podręcznej nie istnieją: %1"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Logowanie do konta było nieprawidłowe lub konto jest tymczasowo wyłączone. Poczekaj i spróbuj ponownie później."
"An authentication error occurred. Verify and try again.","Wystąpił błąd uwierzytelniania. Zweryfikuj i spróbuj ponownie."
"The Admin session lifetime is invalid. Set the lifetime to 31536000 seconds (one year) or shorter and try again.","Czas życia sesji administratora jest nieprawidłowy. Ustaw czas życia na 31536000 sekund (jeden rok) lub krótszy i spróbuj ponownie."
"The Admin session lifetime is invalid. Set the lifetime to 60 seconds or longer and try again.","Czas życia sesji administratora jest nieprawidłowy. Ustaw czas życia na 60 sekund lub dłuższy i spróbuj ponownie."
"Save &amp; Continue","Zapisz &amp; Kontynuuj"
"Save &amp; Close","Zapisz &amp; Zamknij"
"Enable Hints for Storefront with URL Parameter","Włącz podpowiedzi dla witryny sklepu za pomocą parametru adresu URL"
"Parameter Value","Wartość parametru"
"Enable Template Path Hints for Storefront","Włącz podpowiedzi ścieżki szablonu dla witryny Storefront"
"Enable Template Path Hints for Admin","Włącz podpowiedzi ścieżki szablonu dla administratora"
"System Backup","Kopia systemu"
"Database and Media Backup","Kopia bazy danych i mediów"
"Database Backup","Kopia bazy danych"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Archiwum może zostać rozpakowane przy pomocy <a href=%1"">%2</a> w systemach Windows""."
"You need more permissions to activate maintenance mode right now.","Potrzebujesz więcej uprawnień, aby uaktywnić tryb przerwy technicznej."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","W celu utworzenia kopii zapasowej, usuń zaznaczenie ""Przełącz sklep w tryb konserwacji"" lub zaktualizuj swoje uprawnienia."
"Something went wrong while putting your store into maintenance mode.","Coś się zepsuło podczas przechodzenia sklepu w tryb konserwacji."
"You need more free space to create a backup.","Potrzebujesz więcej wolnego miejsca, aby utworzyć kopię zapasową."
"You need more permissions to create a backup.","Potrzebujesz więcej uprawnień, aby utworzyć kopię zapasową."
"We can't create the backup right now.","Nie możemy teraz utworzyć kopii zapasowej."
Backups,"Kopia zapasowa"
Backup,"Kopia zapasowa"
"We can't delete one or more backups.","Nie można usunąć jednej lub większej liczby kopii zapasowych."
failed,nieudane
successful,"zakończona pomyślnie"
"You deleted the selected backup(s).","Zaznaczone kopie zostały usunięte."
"Can't load snapshot archive","Nie można załadować archiwalnego obrazu"
"Please correct the password.","Proszę poprawić hasło."
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Aby ukończyć wycofywanie, usuń zaznaczenie opcji ""Przełącz sklep w tryb konserwacji"" lub zaktualizuj swoje uprawnienia."
"We can't find the backup file.","Nie możemy odnaleźć kopii zapasowej."
"We can't connect to the FTP right now.","Nie możemy teraz połączyć się z FTP."
"Failed to validate FTP.","Nie udało się potwierdzić FTP."
"You need more permissions to perform a rollback.","Potrzebujesz wyższych uprawnień do wykonania przywrócenia."
"Failed to rollback.","Nie udało się przywrócić kopii."
Database,"Baza danych"
"Database and Media","Baza danych i media"
"System (excluding Media)","System (z wyłączeniem Media)"
"You created the system backup.","Utworzyłeś kopię zapasową."
"You created the system backup (excluding media).","Utworzyłeś kopię zapasową (bez zawartości folderu media)."
"You created the database and media backup.","Utworzyłeś kopię zapasową bazy danych i zawartości folderu media."
"You created the database backup.","Utworzono kopię zapasową bazy danych."
"Please correct the order of creation for a new backup.","Proszę poprawić kolejność tworzenia nowej kopii zapasowej."
"The backup file does not exist.","Nie istnieje plik kopii zapasowej."
"The backup file path was not specified.","Plik ""%1"" kopii zapasowej nie został określony."
"The backup file ""%1"" does not exist.","Plik ""%1"" kopii zapasowej nie istnieje."
"Sorry, but we cannot read from or write to backup file ""%1"".","Przepraszam, ale my nie można odczytywać lub zapisać dane do pliku kopii zapasowej ""%1""."
"The backup file handler was unspecified.","Uchwyt pliku kopii zapasowej nie został określony."
"Something went wrong while writing to the backup file ""%1"".","Coś się zepsuło podczas zapisywania pliku kopii zapasowej ""%1""."
"We can't save the Cron expression.","Nie możemy zapisać wyrażenia Cron."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Stracisz wszystkie dane utworzone od wykonania kopii zapasowej, w tym użytkowników administracyjnych, klientów i zamówienia."
"Are you sure you want to continue?","Czy na pewno chcesz kontynuować?"
"This may take a few moments.","To może chwilę potrwać."
"Be sure your store is in maintenance mode during backup.","Upewnij się, że Twój sklep jest w trybie konserwacji podczas wykonywania kopii zapasowej."
"Backup Name","Nazwa kopii zapasowej"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z), cyfr (0-9) lub spacji i # w tym polu."
"Maintenance mode","Tryb serwisowy"
"Please put your store into maintenance mode during backup.","Włącz tryb konserwacji Twojego sklepu podczas wykonywania kopii zapasowej."
Exclude,Wyłącz
"Exclude media folder from backup","Wyłącz katalog mediów z kopii zapasowej"
"Please enter the password to confirm rollback.","Wprowadź hasło, aby potwierdzić przywracanie."
"This action cannot be undone.","Ta akcja nie może być cofnięta."
"User Password","Hasło użytkownika"
"Please put your store into maintenance mode during rollback processing.","Przełącz swój sklep w trybie konserwacji na czas wycofywania zmian."
"Use FTP Connection","Użyj połączenia FTP"
"FTP credentials","Dane FTP"
"FTP Host","Host FTP"
"FTP Login","Login FTP"
"FTP Password","Hasło FTP"
"Magento root directory","Katalog źródłowy Magento"
"Create Backup","Wykonaj kopię"
Rollback,Przywracanie
"Scheduled Backup Settings","Ustawienia zaplanowanych kopii zapasowych"
"Enable Scheduled Backup","Włącz zaplanowaną kopię"
"Backup Type","Typ kopii zapasowej"
Frequency,Częstotliwość
"Maintenance Mode","Tryb remontowy"
"Are you sure you want to delete the selected backup(s)?","Czy na pewno chcesz usunąć wybraną kopię bezpieczeństwa?"
Size(bytes),Rozmiar(Bajty)
Type,Rodzaj
Download,Pobierz
"Backup functionality is disabled","Funkcjonalność kopii zapasowej jest wyłączona"
"Backup Settings","Ustawienia kopii zapasowej"
"Enable Backup","Włącz tworzenie kopii zapasowej"
"Scheduled Backup Type","Typ zaplanowanej kopii zapasowej"
"Disabled by default for security reasons","Domyślnie wyłączone ze względów bezpieczeństwa"
Banners,Banery
"Add Banner","Dodaj baner"
"Save Banner","Zapisz baner"
"Delete Banner","Usuń baner"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"New Banner","Nowy baner"
"Default Content","Domyślna zawartość"
"No Default Content","Brak domyślnej zawartości"
"Banner Default Content for All Store Views","Domyślna zawartość banera dla wszystkich widoków sklepu"
"Store View Specific Content","Określona zawartość widoku sklepu"
"Use Default","Użyj domyślnych"
"Related Promotions","Powiązane promocje"
Rule,Reguła
"Start Date","Data rozpoczęcia"
"End Date","Data zakończenia"
"Banner Name","Nazwa banera"
Active,Aktywny
Inactive,Nieaktywny
"Applies To",Dotyczy
"Any Banner Type","Dowolny typ banera"
"Specified Banner Types","Określone typy banerów"
"Specify Types","Określ rodzaje"
"Banner Information","Informacje o banerze"
Banner,Baner
"Banner Type","Typ banera"
Visibility,Widoczność
"Are you sure you want to delete these banners?","Czy na pewno chcesz usunąć te banery?"
"Related Banners","Powiązane banery"
Position,Pozycja
"This rule no longer exists.","Ta reguła już nie istnieje."
"This banner does not exist.","Ten baner nie istnieje."
"You deleted the banner.","Usunąłeś baner."
"Something went wrong while deleting banner data. Please review the action log and try again.","Coś poszło nie tak podczas usuwania danych banera. Przejrzyj dziennik akcji i spróbuj ponownie."
"We cannot find a banner to delete.","Nie możemy znaleźć banera do usunięcia."
"This banner no longer exists.","Ten baner już nie istnieje."
"Edit Banner","Edytuj baner"
"Please select a banner(s).","Wybierz baner(y)."
"You deleted %1 record(s).","Usunięto %1 rekord(ów)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Coś poszło nie tak podczas masowego usuwania banerów. Przejrzyj dziennik akcji i spróbuj ponownie."
"You saved the banner.","Uratowałeś baner."
"We cannot save the banner.","Nie możemy uratować sztandaru."
"Please enter a name.","Proszę wpisać nazwę."
"Please specify default content for at least one store view.","Określ domyślną zawartość dla co najmniej jednego widoku sklepu."
"-- None --","-- Żaden --"
"Related Cart Price Rules","Powiązane zasady dotyczące cen koszyka"
"Related Catalog Price Rules","Powiązane zasady dotyczące cen katalogowych"
"Content Area",Zawartość
Footer,Stopka
Header,Nagłówek
"Left Column","Lewa kolumna"
"Right Column","Prawa kolumna"
"Manage Banners","Zarządzanie banerami"
"Banner Rotator","Rotator banerów"
"Displays Specified or Promotion Banners","Wyświetla określone lub promocyjne banery"
"Banners to Display","Banery do wyświetlenia"
"Specified Banners","Określone banery"
"Shopping Cart Promotions Related","Promocje związane z koszykami"
"Catalog Promotions Related","Powiązane promocje katalogowe"
"Restrict by Banner Types","Ograniczenia według typów banerów"
"Rotation Mode","Tryb obracania"
"Display all instead of rotating","Wyświetlić wszystkie zamiast obracać"
"One at the time, Random","Jeden na raz, losowo"
"One at the time, Series","Jeden na raz, seria"
"One at the time, Shuffle","Jeden na raz, tasowanie"
"Specify Banners","Określ banery"
"Banner Block Template","Szablon bloku banera"
"Banner Inline Template","Szablon wbudowanego banera"
"Dynamic Blocks","Bloki dynamiczne"
"Add Dynamic Block","Dodaj blok dynamiczny"
"Save Dynamic Block","Zapisz blok dynamiczny"
"Delete Dynamic Block","Usuń blok dynamiczny"
"New Dynamic Block","Nowy blok dynamiczny"
"Dynamic Block Default Content for All Store Views","Domyślna zawartość banera dla wszystkich widoków sklepu"
"Dynamic Block Properties","Właściwości bloku dynamicznego"
"Dynamic Block Name","Nazwa bloku dynamicznego"
"Any Dynamic Block Type","Każdy typ bloku dynamicznego"
"Specified Dynamic Block Types","Wybrany typ bloku dynamicznego"
"Dynamic Block Information","Informacje o bloku dynamicznym"
"Dynamic Block","Blok dynamiczny"
"Dynamic Block Type","Typ bloku dynamicznego"
"Are you sure you want to delete these dynamic blocks?","Czy na pewno chcesz usunąć te bloki dynamiczne?"
"Related Dynamic Blocks","Powiązane bloki dynamiczne"
"You deleted the dynamic block.","Skasowałeś blok dynamiczny."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Coś poszło źle w momencie kasowania danych bloku dynamicznego. Proszę przejrzyj dziennik działań i spróbuj ponownie."
"We cannot find a dynamic block to delete.","Nie możemy znaleźć bloku dynamicznego do usunięcia."
"This dynamic block no longer exists.","Blok dynamiczny już nie istnieje."
"Edit Dynamic Block","Edytuj blok dynamiczny"
"Please select a dynamic block(s).","Wybierz  blok /lub bloki dynamiczne."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Coś poszło nie tak podczas hurtowego usuwania bloków dynamicznych. Przejrzyj dziennik akcji i spróbuj ponownie."
"This dynamic block does not exist.","Blok dynamiczny nie istnieje."
"You saved the dynamic block.","Zapisałeś blok dynamiczny."
"We cannot save the dynamic block.","Nie można zapisać bloku dynamicznego."
"Manage Dynamic Blocks","Zarządzaj blokami dynamicznymi"
"Dynamic Blocks Rotator","Rotator bloków dynamicznych"
"Displays Specified or Promotion Dynamic Blocks","Wyświetla określone lub promowane bloki dynamiczne"
"Dynamic Blocks to Display","Bloki dynamiczne do wyświetlenia"
"Specified Dynamic Blocks","Określone bloki dynamiczne"
"Restrict by Dynamic Block Types","Ogranicz ze względu na typ bloku dynamicznego"
"Specify Dynamic Blocks","Określ bloki dynamiczne"
"Dynamic Block Template","Szablon bloku dynamicznego"
"Dynamic Block Inline Template","Szablon wbudowanego bloku dynamicznego"
"Status Label","Etykieta statusu"
"General Information","Informacje ogólne"
"Enable Dynamic Block","Włącz blok dynamiczny"
"Use Default Value","Użyj wartości domyślnej"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Reguły cenowe koszyka umożliwiają konfigurację promocji dla produktów znajdujących się w koszyku."
"Add Cart Price Rules","Zasady dodawania ceny do koszyka"
"Related Catalog Price Rule","Powiązana reguła ceny katalogowej"
"Catalog price rules allows you to setup promotions for an items in catalog.","Reguły cen katalogowych umożliwiają ustawienie promocji dla pozycji w katalogu."
"Add Selected","Dodaj wybrane"
Remove,Usunąć
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Upewnij się, że rotator bloków dynamicznych nie odwołuje się do samego bloku dynamicznego."
"Cart Price Rule Related","Powiązane zasady wartości koszyka"
"Catalog Price Rule Related","Powiązane Zasady cen Katalogowych"
"All Segments","Wszystkie segmenty"
"Customer Segment","Segment klienta"
"Allowed Credit Card Types","Dopuszczone rodzaje kart kredytowych"
"Add Rule","Dodaj regułę"
"Braintree Settlement Report","Raport dotyczący likwidacji Braintree"
"Sorry, but something went wrong","Przepraszamy, coś poszło nie tak"
"We can't initialize checkout.","Nie można zainicjować zamówienia."
"No authorization transaction to proceed capture.","Nie ma autoryzacji transakcji do kontynuowanie przechwytywania."
"Transaction is successful.","Transakcja zakończona sukcesem."
"Braintree error response.","Braintree błąd odpowiedzi."
"Payment method nonce can't be retrieved.","Nie można pobrać identyfikatora jednorazowego metody płatności."
"Wrong transaction status","Zły stan transakcji"
Authorize,Autoryzujautoryzuj
"Credit Card","Karta kredytowa"
ending,końcówka
expires,wygasa
"Please agree to all the terms and conditions before placing the order.","Prosimy zatwierdzić warunki zamawiania przed jego złożeniem."
"Transaction was failed.","Transakcja nie powiodła się."
"Please, enter valid Credit Card Number","Wprowadź prawidłowy numer karty kredytowej"
"Please, enter valid Expiration Date","Podaj prawidłową datę wygaśnięcia"
"Please, enter valid Card Verification Number","Wprowadź prawidłowy numer weryfikacyjny karty"
"Are you sure you want to delete this PayPal account","Czy na pewno chcesz usunąć to konto PayPal"
"PayPal Account","Konto PayPal"
"PayPal Logo","Logo PayPal"
"Credit Card Information","Informacje karty kredytowej"
"Save for later use.","Zapisz do późniejszego wykorzystania."
"This payment is not available","Ta płatność nie jest dostępna"
YY,RR
"Please try again with another form of payment.","Proszę spróbować ponownie z inną formę płatności."
"Sorry, but something went wrong.","Przepraszamy, coś poszło nie tak."
"Payment ","Płatność "
"Credit card type is not accepted by this merchant account.","Ten rodzaj płatności nie jest akceptowany przez tego sprzedawcę."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transakcja może być unieważniona tylko jeśli jej status jest następujący: autoryzowane, zgloszone_do_oplacenia, albo dla serwisu PayPal - oczekuje_na_platnosc."
"Credit transactions cannot be refunded.","Transakcja odroczona nie może zostać zrefundowana."
"Cannot refund a transaction unless it is settled.","Nie można zwrócić płatności za transakcję dopóki nie zostanie ona rozliczona."
"Cannot submit for settlement unless status is authorized.","Nie można przedstawić do rozliczenia dopóki nie uzyska statusu ""autoryzowana""."
"Customer does not have any credit cards.","Klient nie jest posiadaczem żadnych kart kredytowych."
"Transaction has already been completely refunded.","Transakcja została już w całości zrefundowana."
"Payment instrument type is not accepted by this merchant account.","Ten rodzaj płatności nie jest akceptowany przez tego sprzedawcę."
"Processor authorization code cannot be set unless for a voice authorization.","Kod autoryzacyjny procesora nie może być ustawiony, chyba że dla autoryzacji głosowej."
"Refund amount is too large.","Kwota zwrotu jest zbyt wysoka."
"Settlement amount is too large.","Kwota rozliczenia jest zbyt wysoka."
"Cannot provide a billing address unless also providing a credit card.","Nie można ustawić adresu rozliczeniowego bez jednoczesnego ustawienia karty kredytowej."
"Cannot refund a transaction with a suspended merchant account.","Nie można zwrócić kosztów transakcji, używając zawieszonego konta."
"Merchant account does not support refunds.","Konto sprzedawcy nie obsługuje zwrotów."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Nie można zwrócić kosztów nieopłaconej transakcji, używając tego konta sprzedawcy. Spróbuj ponownie, kiedy transakcja zostanie rozliczona."
"PayPal is not enabled for your merchant account.","PayPal nie jest włączony dla Twojego konta."
"Partial settlements are not supported by this processor.","Rozliczenia częściowe nie są obsługiwane przez tego operatora."
"Cannot submit for partial settlement.","Nie można przesłać do częściowego rozliczenia."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transakcja nie może zostać unieważniona, jeśli transakcja PayPal będąca częściowym rozliczeniem tej transakcji ma status oczekuje_na_platnosc."
"Too many concurrent attempts to refund this transaction. Try again later.","Nastąpiło zbyt dużo jednoczesnych prób refundowania tej transakcji. Spróbuj ponownie później."
"Too many concurrent attempts to void this transaction. Try again later.","Nastąpiło zbyt dużo jednoczesnych prób unieważnienia tej transakcji. Spróbuj ponownie później."
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Przyjmuj płatności kartą lub przez PayPal w twoim sklepie Magento.<br/> Zero konfiguracji oraz opłat, a twoi klienci nigdy nie opuszczą strony sklepu by dokonać zakupu."
"Enable this Solution","Włącz to rozwiązanie"
"Enable PayPal through Braintree","Włącz PayPal za pośrednictwem Braintree"
"Vault Enabled","Domyślny włączone"
"Basic Braintree Settings","Ustawienia podstawowe Braintree"
"Merchant ID","ID sprzedawcy"
"Public Key","Klucz publiczny"
"Private Key","Klucz prywatny"
"Advanced Braintree Settings","Ustawienia zaawansowane Braintree"
"Vault Title","Domyślny tytuł"
"Merchant Account ID","Identyfikator konta sprzedawcy"
"Advanced Fraud Protection","Zaawansowane zabezpieczenie przed oszustwem"
"Kount Merchant ID","Identyfikator sprzedawcy Kount"
"CVV Verification","Weryfikacja CVV"
"Country Specific Settings","Określone ustawienia kraju"
"Country Specific Credit Card Types","Rodzaj karty kredytowej kraju"
"PayPal through Braintree","PayPal za pośrednictwem Braintree"
